日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/13,淡水,SO2,1.2,1.2,1.1,1.3,1.5,1.4,1.5,1.4,1.5,1.8,1.7,1.4,1.3,1.3,1.6,1.5,2.1,2.3,2.3,2.1,1.7,1.4,1.3,1.4
2014/01/13,淡水,UVB,0,0,0,0,0,0,0,0.1,0.2,0.7,0.8,0.9,0.9,1,0.5,0.3,0,0,0,0,0,0,0,0
2014/01/14,淡水,CO,0.29,0.26,0.26,0.25,0.23,0.23,0.26,0.3,0.29,0.31,0.29,0.29,0.29,0.3,0.31,0.31,0.29,0.29,0.26,0.23,0.2,0.2,0.2,0.19
2014/01/14,淡水,NO,0.5,0.4,0.6,0.9,0.8,0.9,1.1,1.5,1.3,1.3,1.8,1.7,1.9,1.9,1.8,2,2.1,1.9,1.9,1.6,1.2,1.2,1.2,0.9
2014/01/14,淡水,NO2,2.6,1.5,1.8,1.8,1.8,1.9,3.8,5,4.8,5.2,5.9,5.1,5.3,6.7,7.7,8.8,8.3,6.7,6.6,4.7,3.3,4,3.1,2.4
2014/01/14,淡水,NOx,3.1,2,2.4,2.7,2.6,2.8,4.9,6.6,6.2,6.5,7.7,6.8,7.1,8.6,9.5,11,10,8.6,8.6,6.3,4.5,5.1,4.3,3.3
2014/01/14,淡水,O3,42,43,43,45,46,47,45,44,44,43,41,40,38,37,36,35,35,36,38,41,45,42,42,43
2014/01/14,淡水,PM10,44,39,34,29,27,32,38,38,32,31,28,22,22,23,27,32,31,29,33,35,32,32,33,31
2014/01/14,淡水,PM2.5,26,21,17,15,16,18,16,20,18,16,14,13,12,13,13,14,16,17,16,16,17,14,14,16
2014/01/14,淡水,SO2,1.5,2.7,2.6,2.7,2.6,2.7,2.7,2.6,2.3,2.1,2,1.9,1.6,1.8,1.8,1.8,1.6,1.6,1.6,1.9,1.7,1.7,1.5,1.5
2014/01/14,淡水,UVB,0,0,0,0,0,0,0,0.1,0.2,0.5,0.6,0.8,1,0.8,0.3,0.2,0,0,0,0,0,0,0,0
2014/01/15,淡水,CO,0.19,0.24,0.18,0.17,0.17,0.19,0.22,0.27,0.23,0.22,0.21#,0.28,0.23,0.23,0.23,0.24,0.22,0.36,0.34,0.27,0.24,0.26,0.28,0.2
2014/01/15,淡水,NO,0.9,1.3,0.9,1.3,1.1,0.9,1.2,1.3,2,3.4,1.8#,2.4,1.7,1.7,2.1,1.8,1.7,1.4,1.2,1.4,1.3,1.2,1.6,1.4
2014/01/15,淡水,NO2,1.9,5.4,1.4,0.9,1.2,2.3,6.4,8.5,5.2,7.3,4.5#,5.3,5.2,4.7,4.9,7.6,5.2,13,11,7.8,6.3,6.9,7.9,3.7
2014/01/15,淡水,NOx,2.8,6.6,2.3,2.2,2.3,3.2,7.6,9.7,7.1,11,6.2#,7.7,6.8,6.5,7,9.3,6.9,15,12,9.2,7.6,8.1,9.5,5.1
2014/01/15,淡水,O3,43,35,43,46,45,42,35,34,39,38,42#,41,41,41,40,39,42,31,34,37,39,36,34,41
2014/01/15,淡水,PM10,32,33,35,35,31,34,42,40,34,38,,43,42,44,45,44,43,44,38,32,37,39,38,37
2014/01/15,淡水,PM2.5,17,17,16,16,14,18,20,15,13,13,,19,20,21,18,16,17,15,14,14,13,11,11,12
2014/01/15,淡水,SO2,1.5,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4,1.5,1.2#,2.6,2,1.5,1.5,1.5,1.3,1.5,1.3,1.3,1.4,2.5,2.6,1.4
2014/01/15,淡水,UVB,0,0,0,0,0,0,0,0.1,0.7,1.5,2.9,1.8,1.3,1.8,0.5,0.6,0.2,0,0,0,0,0,0,0
2014/01/16,淡水,CO,0.21,0.23,0.22,0.19,0.22,0.24,0.37,0.64,0.53,0.22,0.18,0.19,0.17,0.18,0.2,0.2,0.2,0.26,0.27,0.46,0.44,0.55,0.8,0.55
