Date,Station,Item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/06/04,Sanyi,PM10,22,28,27,23,23,23,24,22,22,24,28,37,38,35,37,40,50,50,48,53,51,48,48,46
2014/06/06,Sanyi,PM10,21,22,21,20,18,15,12,16,15,11,10,11,16,28,38,37,29,23,26,27,29,27,20,13
2014/06/07,Sanyi,PM10,12,15,21,21,18,18,15,15,16,20,23,28,34,32,29,31,24,21,18,15,15,17,21,20
2014/06/08,Sanyi,PM10,21,23,23,21,21,24,28,24,26,31,29,22,22,21,18,23,21,21,26,26,23,21,22,21
2014/06/13,Sanyi,PM10,44,54,53,48,55,59,56,59,70,77,68,61,54,46,45,42,39,45,45,39,35,27,26,33
2014/06/14,Sanyi,PM10,43,45,46,49,44,48,45,40,37,32,42,61,68,60,54,53,42,34,38,32,21,23,27,32
2014/06/15,Sanyi,PM10,37,37,35,35,35,35,38,45,48,44,42,39,43,42,42,40,34,24,22,26,23,27,28,29
2014/06/17,Sanyi,PM10,32,34,32,26,21,18,15,17,23,18,17,22,21,24,28,22,26,26,23,28,27,26,28,24
2014/06/18,Sanyi,PM10,20,21,26,27,22,26,32,32,37,38,38,39,43,43,37,37,37,26,29,39,31,26,21,18
2014/06/19,Sanyi,PM10,26,26,26,26,21,24,28,32,34,33,35,44,44,38,38,32,27,26,28,29,28,28,29,32
2014/06/20,Sanyi,PM10,33,35,37,37,39,44,40,42,40,37,38,39,40,31,28,31,33,32,23,22,27,29,26,21
2014/06/21,Sanyi,PM10,24,20,16,20,21,22,23,22,26,26,23,28,35,35,39,43,34,32,32,34,37,34,34,35
2014/06/22,Sanyi,PM10,29,28,28,17,12,16,21,23,23,27,34,37,38,39,40,35,29,29,26,23,32,40,37,39
2014/06/24,Sanyi,PM10,35,28,26,31,26,27,27,22,15,12,22,32,42,45,40,34,38,43,35,33,34,31,31,34
2014/06/26,Sanyi,PM10,27,26,26,24,26,33,28,24,32,32,32,34,35,38,43,42,38,35,33,32,32,28,26,26
2014/06/27,Sanyi,PM10,32,34,33,35,35,34,40,38,39,43,45,54,54,50,45,44,42,39,39,45,46,40,39,43
2014/06/28,Sanyi,PM10,46,48,56,61,57,57,61,70,68,66,70,64,50,34,21,22,26,21,20,24,24,27,34,31
