Season,Dummy,DateStation,Item,Day00,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23
Spring,1000,2014/05/05Sanyi,PM10,81.0,71.0,44.0,18.0,12.0,13.0,13.0,12.0,9.0,11.0,20.0,18.0,16.0,20.0,21.0,22.0,26.0,31.0,29.0,27.0,37.0,45.0,40.0,35.0
Spring,1000,2014/05/07Sanyi,PM10,40.0,42.0,34.0,37.0,33.0,26.0,26.0,24.0,21.0,24.0,40.0,38.0,26.0,24.0,17.0,20.0,24.0,29.0,34.0,37.0,37.0,35.0,32.0,33.0
Spring,1000,2014/05/08Sanyi,PM10,34.0,31.0,28.0,31.0,32.0,34.0,34.0,37.0,35.0,27.0,24.0,23.0,27.0,31.0,28.0,27.0,28.0,32.0,33.0,37.0,45.0,45.0,44.0,38.0
Spring,1000,2014/05/10Sanyi,PM10,64.0,66.0,68.0,72.0,60.0,43.0,39.0,38.0,33.0,29.0,34.0,42.0,42.0,42.0,40.0,53.0,67.0,70.0,76.0,78.0,78.0,81.0,81.0,65.0
Spring,1000,2014/05/11Sanyi,PM10,40.0,28.0,28.0,33.0,37.0,42.0,40.0,34.0,24.0,23.0,28.0,29.0,31.0,31.0,38.0,49.0,38.0,27.0,27.0,31.0,33.0,28.0,24.0,22.0
Spring,1000,2014/05/12Sanyi,PM10,21.0,22.0,26.0,21.0,18.0,20.0,20.0,20.0,26.0,31.0,29.0,31.0,31.0,33.0,33.0,28.0,22.0,24.0,28.0,23.0,22.0,18.0,15.0,16.0
Spring,1000,2014/05/14Sanyi,PM10,23.0,29.0,23.0,17.0,21.0,23.0,21.0,16.0,17.0,22.0,31.0,29.0,40.0,42.0,28.0,29.0,28.0,27.0,24.0,26.0,28.0,27.0,26.0,27.0
Spring,1000,2014/05/15Sanyi,PM10,27.0,27.0,24.0,21.0,20.0,21.0,21.0,21.0,22.0,21.0,23.0,24.0,22.0,23.0,23.0,24.0,18.0,13.0,20.0,21.0,16.0,15.0,17.0,17.0
Spring,1000,2014/05/16Sanyi,PM10,22.0,24.0,21.0,20.0,35.0,39.0,28.0,24.0,21.0,24.0,29.0,35.0,33.0,29.0,42.0,53.0,56.0,70.0,86.0,77.0,57.0,48.0,55.0,50.0
Spring,1000,2014/05/17Sanyi,PM10,40.0,44.0,40.0,35.0,37.0,39.0,38.0,38.0,39.0,44.0,46.0,48.0,49.0,50.0,50.0,48.0,43.0,34.0,34.0,39.0,40.0,38.0,34.0,34.0
Spring,1000,2014/05/18Sanyi,PM10,33.0,32.0,34.0,28.0,27.0,28.0,23.0,29.0,34.0,29.0,35.0,37.0,33.0,31.0,24.0,20.0,16.0,17.0,20.0,20.0,22.0,23.0,23.0,26.0
